Title,ISBN
"By these words : great documents of American liberty, selected and placed in their contemporary settings /",
The American reader /,
The Annals of America = Great issues in American life : a conspectus.,
The Annals of America. A House Dividing.,
The Annals of America. Agrarianism and Urbanization.,
The Annals of America. Cold War in the Nuclear Age.,
The Annals of America. Discovering a New World.,
The Annals of America. Domestic Expansion and Foreign Entanglements.,
The Annals of America. Manifest Destiny.,
The Annals of America. Organizing the New Nation.,
"The Annals of America. Populism, Imperialism, and Reform.",
The Annals of America. Reconstruction and Industrialization.,
The Annals of America. Resistance and Revolution.,
The Annals of America. Steps toward Equalitarianism.,
The Annals of America. World War and Prosperity.,
The Annals of America. the Burdens of World Power.,
The Annals of America. the Challenge of a Continent.,
The Annals of America. the Crisis of the Union.,
The Annals of America. the Great Depression.,
The Annals of America. the Progressive Era.,
The Annals of America. the Second World War and after.,
The American spirit : United States history as seen by contemporaries /,
Basic documents in American history /,
Speeches and documents in American history /,
Speeches and documents in American history /,
Speeches and documents in American history /,
Voices of the American past : readings in American history /,9780669600872;0669600873
"The United States, 1789-1890 /",
Documents of American history /,
Documents of American history /,
Documents of American history /,9780132172745;0132172747
Documents of American history /,9780132172820;0132172828
Constructing the American past : a sourcebook of a people's history /,9780673991720;0673991725
Constructing the American past : a sourcebook of a people's history /,9780673991737;0673991733
A documentary history of the American people /,
European treaties bearing on the history of the United States and its dependencies /,
American history told by contemporaries /,
American history told by contemporaries /,
Major problems in American history : documents and essays.,1305585305;9781305585300
"Select charters and other documents illustrative of American history, 1606-1775 /",
"Select documents illustrative of American history, 1776-1861 /",
Makers of America /,9780878270002;0878270000
Readings in American values : selected and edited from public documents of the American past /,
A more perfect union : documents in U.S. history /,9780395745243;0395745241
Significant documents in United States history /,
One hundred key documents in American democracy /,9780313284243;0313284245
Our foreigners : a chronicle of Americans in the making /,
Document sets for the South in U.S. history /,9780669271089;066927108X
Reading the American past : selected historical documents.,9780312391317;0312391315
Reading the American past : selected historical documents.,9780312459680;0312459688
"Roots of America : an anthology of documents relating to American history in the West Sussex Record Office, Chichester, England /",9780900801389;0900801387
History as argument : three patriot historians of the American Revolution /,
Sources for U.S. history : nineteenth-century communities /,9780521353151;0521353157
"Abridgement of the Debates of Congress, from 1789 to 1856 /",
"Abridgement of the Debates of Congress, from 1789 to 1856 /",
"Abridgement of the Debates of Congress, from 1789 to 1856 /",
"Abridgement of the Debates of Congress, from 1789 to 1856 /",
"Abridgement of the Debates of Congress, from 1789 to 1856 /",
Voices of freedom : a documentary history.,9780393614503;0393614506
"The Longman handbook of modern American history, 1763-1996 /",9780582084896;058208489X
Dictionary of American history : supplement /,9780684195797;0684195798
Dictionary of American history.,9780684138565;0684138565
The Oxford companion to American history /,
The Oxford companion to United States history /,9780195082098;0195082095
A dictionary of American history /,9781577180999;1577180992
The reader's companion to American history /,9780395513729;0395513723
The almanac of American history /,9780399128530;0399128530
Encyclopedia of American history /,
Encyclopedia of American history /,9780060130817;0060130814
"Webster's guide to American history : a chronological, geographical, and biographical survey and compendium /",9780877790815;0877790817
The ungentlemanly art : a history of American political cartoons /,
Telling the truth about history /,0393036154;9780393036152;0393312860;9780393312867
The life and writings of Jared Sparks : comprising selections from his journals and correspondence /,
The degradation of the democratic dogma /,
Seminary notes on recent historical literature /,
Brooks Adams : a biography /,
Henry Adams : scientific historian /,
"James Truslow Adams, historian of the American dream /",
Henry Adams : a biography /,
American history - British historians : a cross cultural approach to the American experience /,9780882292809;0882292803
Carl Becker : a biographical study in American intellectual history /,
Understanding the American experience : recent interpretations /,
The life and letters of George Bancroft /,
"George Bancroft, Brahmin rebel /",
The historical thinking of Charles A. Beard /,
American History and American Historians : a Review of recent Contributions to the Interpretation of the History of the United States /,
American history : retrospect and prospect /,
Speculations on American history /,9780669004885;066900488X
American progressive history : an experiment in modernization /,9780226072777;0226072770
The challenge of American history /,9780801862229;0801862221
Pastmasters : some essays on American historians /,9780061317460;0061317462
"History in the United States, 1800-1860 : its practice and purpose /",
The lamp of experience : Whig history and the intellectual origins of the American Revolution /,
The search for a usable past and other essays in historiography /,
The historian's contribution to Anglo-American misunderstanding /,
Archibald Cary Coolidge : life and letters /,
The legend of the founding fathers /,
Human nature in American historical thought /,9780826279156;0826279155
"Women and the historical enterprise in America : gender, race, and the politics of memory, 1880-1945 /",9780807827963;0807827967;9780807854754;0807854751
"Not ""a nation of immigrants"" : settler colonialism, white supremacy, and a history of erasure and exclusion /",0807036293;9780807036297
After the fact : the art of historical detection /,9780070156098;0070156093
After the fact : the art of historical detection /,9780072294262;0072294264;9780072294279;0072294272;9780072294286;0072294280
After the fact : the art of historical detection /,9780394354750;0394354753
Henry Adams and Brooks Adams : the education of two American historians /,
Essays in American historiography : papers presented in honor of Allan Nevins /,
"History's memory : writing America's past, 1880-1980 /",9780674007314;067400731X
American themes : essays in historiography /,
A loss of mastery : Puritan historians in Colonial America /,
Interpretations of American history : patterns and perspectives /,
The degradation of American history /,9780226316161;0226316165;9780226316178;0226316173
The American people : a new history /,
Objectivity is not neutrality : explanatory schemes in history /,9780801856815;0801856817
American political history as social analysis /,9780870492761;0870492764
History /,
The Reconstruction of American History /,
Writing American history : essays on modern scholarship /,9780253197009;0253197007
"The progressive historians : Turner, Beard, Parrington /",
The structure of American history /,
"Turner, Bolton and Webb : three historians of the American frontier /",
The history of historical writing in America /,
The Marcus W. Jernegan essays in American historiography /,
Selvages and biases : the fabric of history in American culture /,9780801419249;0801419247
The writing of American history /,
"History as romantic art : Bancroft, Prescott, Motley and Parkman /",
The air-line to Seattle : studies in literary and historical writing about America /,9780226498324;0226498328
Research opportunities in American cultural history /,
"The dream and the deal : the federal writers' project, 1935-1943 /",9780316545006;0316545007
Memory and American history /,9780253359407;0253359406;9780253205704;0253205700
Essays on historiography /,
The terrors of ideological politics : Liberal historians in a Conservative mood /,
The new American history /,9780877226987;0877226989
Historians against history : the frontier thesis and the national covenant in American historical writing since 1830 /,
"The end of American history : democracy, capitalism, and the metaphor of two worlds in Anglo-American historical writing, 1880-1980 /",9780816614165;0816614164
Francis Parkman /,
A life of Francis Parkman /,
Letters of Francis Parkman /,
The journals of Francis Parkman.2v /,
Paths to the American past /,9780195025798;0195025792
The reinterpretation of early American history : essays in honor of John Edwin Pomfret /,
History and American society : essays /,
William Hickling Prescott : a biography /,
In pursuit of American history : research and training in the United States /,
American historians and European immigrants 1875-1925 /,
American history and the social sciences /,
In retrospect : the history of a historian /,
American intellectual histories and historians /,
Sources for American studies /,9780313225550;0313225559
The state of American history /,
"Consensus, conflict and American historians /",9780253314109;0253314100
The pragmatic revolt in American history : Carl Becker and Charles Beard /,
"Quantification in American history, theory and research /",
Frederick Jackson Turner's legacy : unpublished writings in American history /,
The contours of American history /,
American historical explanations : a strategy for grounded inquiry /,
The American historian : a social-intellectual history of the writing of the American past /,
The future of the past /,9780195057447;0195057449
A past renewed : a catalog of German-speaking refugee historians in the United States after 1933 /,9780521440639;0521440637
Historians of the American frontier : a bio-bibliographical sourcebook /,9780313248993;0313248990
Views from the dark side of American history /,0807139025;9780807139028
"Race and history : selected essays, 1938-1988 /",9780807115473;0807115479
Parkman's history : the historian as a literary artist /,
You can't be neutral on a moving train : a personal history of our times /,9780807071274;0807071277
The literary vocation of Henry Adams /,9780807818749;0807818747
Letters to a niece /,
Henry Adams /,
The Virgin of Chartres : an intellectual and psychological history of the work of Henry Adams /,9780838623695;0838623697
Henry Adams : the myth of failure /,9780813908335;0813908337
Henry Adams : an introduction and interpretation /,
Runaway star : an appreciation of Henry Adams /,
The mind and art of Henry Adams /,
Symbol and idea in Henry Adams /,9780803207295;0803207298
Henry Adams : the major phase /,
Henry Adams : the middle years /,
The suspension of Henry Adams : a study of manner and matter /,
Henry Adams and his friends : a collection of his unpublished letters /,
Letters of Henry Adams.,
Letters of Henry Adams.,
The letters of Henry Adams /,9780674526853;0674526856
The letters of Henry Adams.,
The letters of Henry Adams.,9780674526853;0674526856
The letters of Henry Adams.,9780674526853;0674526856
The selected letters /,
"George Bancroft,",9780805700343;080570034X
Charles A. Beard : an intellectual biography /,9780809310784;0809310783
Charles A. Beard and American Foreign Policy /,9780813003542;0813003547
Carl Becker on history and the American revolution /,
Pioneer's mission : the story of Lyman Copeland Draper /,9780837128818;0837128811
Fireweed : a political autobiography /,9781566398893;1566398894
Francis Parkman /,
"Francis Parkman, historian as hero : the formative years /",9780292724679;0292724675
James Parton : the father of modern biography /,
Frederick Jackson Turner /,
"Frederick Jackson Turner : historian, scholar, teacher /",
Thinking back : the perils of writing history /,0807113042;9780807113042;0807113778;9780807113776
C. Vann Woodward : a southern historian and his critics /,9780820318776;0820318779
"C. Vann Woodward, southerner /",9780820309330;0820309338
Carter G. Woodson : a life in black history /,9780807117934;0807117935
The letters of C. Vann Woodward /,0300185340;9780300185348
The presence of the past : popular uses of history in American life /,9780231111485;0231111487
American studies : topics and sources /,9780837185590;0837185599
"Interpreting national history : race, identity, and pedagogy in classrooms and communities /",9780415960830;0415960835;9780415960847;0415960843
Introduction to American studies /,9780582307384;0582307384
Post-nationalist American studies /,9780520224384;0520224388;9780520224391;0520224396
Presenting the past : essays on history and the public /,9780877224068;0877224064;9780877224136;0877224137
The search for a method in American studies /,
America Revised : History Schoolbooks in the Twentieth Century /,9780394744391;039474439X
The American foundation myth in Vietnam : reigning paradigms and raining bombs /,9780761812081;0761812083;9780761812098;0761812091
On hallowed ground : Abraham Lincoln and the foundations of American history /,9780300082371;0300082371
Myths America lives by /,9780252072208;0252072200
The whites of their eyes : the Tea Party's revolution and the battle over American history /,0691150273;9780691150277;0691153000;9780691153001
"Museums, monuments, and national parks : toward a new genealogy of public history /",1558499407;9781558499409;1558499393;9781558499393
The cycles of American history /,9780233980522;0233980520
America Confronts a Revolutionary World : 1776-1976 /,
The American radical /,9780415908047;0415908043
Damaged souls /,
"Women state and territorial legislators, 1895-1995 : a state-by-state analysis, with rosters of 6,000 women /",9780786400782;0786400781
American studies in transition /,
The national portrait gallery of distinguished Americans /,
Profiles in courage /,
"Men, women, and issues in American history /",9780256016864;0256016860
"Men, women, and issues in American history /",9780256016871;0256016879
"""If elected...."" : unsuccessful candidates for the Presidency 1796-1968.",
"The American Myth and the European Mind : American Studies in Europe, 1776-1960 /",
Hope dies last : making a difference in an indifferent world /,9781862077058;1862077053
God in the White House : a history : how faith shaped the presidency from John F. Kennedy to George W. Bush /,0060734051;9780060734053;0060872586;9780060872588
Presidential Saints and Sinners /,9780029013304;0029013305
The Pugnacious Presidents : White House Warriors on Parade /,9780029012208;0029012201
The presidents of American history /,
Presidential Anecdotes /,9780195029154;0195029151
Deeds done in words : presidential rhetoric and the genres of governance /,9780226092416;0226092410
The warrior and the priest : Woodrow Wilson and Theodore Roosevelt /,9780674947504;0674947509
Popular images of the Presidency : from Washington to Lincoln /,9780826207821;0826207820
The scarlet thread of scandal : morality and the American presidency /,9780847696062;0847696065
Essays in presidential rhetoric /,9780840342416;0840342411
"Command of office : how war, secrecy, and deception transformed the presidency from Theodore Roosevelt to George W. Bush /",0465027571;9780465027576;046502758X;9780465027583
Presidents and the dissolution of the Union : leadership style from Polk to Lincoln /,0691151997;9780691151991
Facts about the presidents : a compilation of biographical and historical information /,9780824208455;0824208455
The good ruler : from Herbert Hoover to Richard Nixon /,9780813512822;0813512824
Leadership in the modern presidency /,9780674518544;0674518543;9780674518551;0674518551
Hail to the candidate : presidential campaigns fron banners to broadcasts /,9781560981787;1560981784
The presidency A to Z /,0872893677;9780872893672
The presidency A-Z /,9781579581237;1579581234
The log cabin myth : the social backgrounds of the presidents /,9780300031669;0300031661
"Encyclopedia of presidential campaigns, slogans, issues, and platforms /",9780313319730;0313319731
Responses of the Presidents to charges of misconduct /,
The ferocious engine of democracy : a history of the American presidency /,9781568330419;1568330413
The ferocious engine of democracy : a history of the American presidency /,9781568330426;1568330421
"The double-edged sword : how character makes and ruins presidents, from Washington to Clinton /",0813367778;9780813367774
Speaking to the people : the rhetorical presidency in historical perspective /,9781558491588;1558491589;9781558491595;1558491597
To the best of my ability : the American presidents /,9780789450739;0789450739
Some presidents : Wilson to Nixon /,
Presidential wives : an anecdotal history /,9780195037630;0195037634
"First lady, public wife : a behind-the-scenes history of the evolving role of First Ladies in American political life /",9780819164971;0819164976
The presidents' wives : reassessing the office of first lady /,9781555879488;1555879489
American statesmen.,
American statesmen.,
The American presidents from Washington to Harding : a study in democracy /,
The American Heritage pictorial history of the Presidents of the United States.,
"Making democracy a reality : Jefferson, Jackson and Polk /",
"Fenollosa and his circle, with other essays in biography /",
American Assassins : the Darker Side of Politics /,9780691076379;0691076375
Dictionary of American portraits /,
The assassins /,
"America's political dynasties, from Adams to Kennedy /",
Little Annie Oakley and other rugged people /,
Inaugural addresses of the Presidents of the United States from George Washington 1789 to Lyndon Baines Johnson 1965.,
The state of the Union messages of the Presidents 1790-1966 /,
Memoirs : intimate recollections of twelve American presidents from Theodore Roosevelt to Richard Nixon /,
Critics and crusaders : a century of American protest /,
The pilgrim daughters /,
A compilation of the messages and papers of the Presidents.. /,
A compilation of the messages and papers of the Presidents.. /,
Trumpets of Jubilee /,
"Trumpets of Jubilee : Henry Ward Beecher, Harriet Beecher Stowe, Lyman Beecher, Horace Greeley, P.T. Barnum /",
"Three Presidents and their books : the reading of Jefferson by Arthur Bestor, Lincoln by David C. Mearns, F.D. Roosevelt by Jonathan Daniels.",
Messages and documents.,
Messages and documents.,
Messages and documents.,
Messages and documents.,
Messages and documents.,
The hero in America : a chronicle of hero-worship /,
History of the United States of America /,
History of the United States of America /,
History of the United States of America /,
American history : a survey.,007312494X;9780073124940;0073125040;9780073125046
American history : a survey.,0073033928;9780073033921
A history of the American people /,
The epic of America /,
Pioneer America /,
Rise of the American republic /,
British essays in American history /,
The United States of America /,
The American Destiny /,9780717281138;0717281132
The American Destiny /,9780717281138;0717281132
The American nation : a history from original sources by associated scholars /,
The American nation : a history from original sources by associated scholars /,
The American nation : a history from original sources by associated scholars /,
The American nation : a history from original sources by associated scholars /,
The American nation : a history from original sources by associated scholars /,
The American reader : from Columbus to today /,
American history : a survey /,9780073033914;007303391X
Mr President : an introduction to American history /,
A nation among nations : America's place in world history /,9780809095278;0809095270;9780809072354;0809072351
Three essays on America /,
The history of the United States of America from the discovery of the continent /,
A basic history of the United States /,
The American Spirit : a Study of the Idea of Civilization in the United States /,
The Rise of American Civilization /,
The Rise of American Civilization /,
The Rise of American Civilization /,
The historians' history of the United States /,
Towards a new past : dissenting essays in American history /,
A history of the U.S.A /,9780333112069;0333112067
The character of American history /,
Longman history of the United States of America /,9780582353855;0582353858
The Longman history of the United States of America /,9780582368071;0582368073
The Pelican history of the United States of America /,9780140225273;0140225277
The Penguin history of the United States of America /,9780140134605;0140134603
The Penguin history of the United States of America /,9780140252552;014025255X
The American past : a history of the United States from Concord to the great society /,9780671224189;0671224182
A history of the American people /,
A History of the United States /,
A History of the United States /,
A History of the United States /,
A History of the United States /,
A History of the United States /,
A History of the United States /,
"The first liberty : a history of the right to vote in America, 1619-1850 /",
Freedom and reform : essays in honor of Henry Steele Commager /,
Conflict or consensus in American history /,
Alistair Cooke's America /,
Americans : a collision of histories /,9781860641558;1860641555
Words that made American history : colonial times to the 1870's /,
Peace or war : the American struggle 1636-1936 /,
The United States in world history /,0415275296;9780415275293;041527530X;9780415275309
Out of our past : the forces that shaped modern America /,9780060900021;0060900024
Out of our past : the forces that shaped modern America /,9780061319853;0061319856
Out of our past : the forces that shaped modern America /,
The emergence of the super-powers : a short comparative history of the U.S.A. and the U.S.S.R. /,
"American contributions to civilization, and other essays and addresses /",
Give me liberty! : An American history /,0393934306;9780393934304;0393911896;9780393911893
Give me liberty! : an American history /,0393932575;9780393932577
Give me liberty! : an American history /,9780393927825;0393927822
The development of the United States from colonies to a world power /,
A visual history of the United States /,
Recent America : conflicting interpretations of the great issues /,
The American past : conflicting interpretations of the great issues /,
"Historical viewpoints : notable articles from American Heritage, the magazine of history /",
Interpreting American history : conversations with historians /,
The history of the United States : a history of men and ideas /,
Great issues in American history /,
Great issues in American history /,9780394705408;0394705408
Great issues in American history /,9780394705422;0394705424
Great issues in American history : a Documentary Record /,
The great republic : a history of the American people /,9780669027532;0669027537
The great republic : a history of the American people /,9780669209860;0669209864
The great republic : a history of the American people /,9780669209877;0669209872
The American political tradition and the men who made it.,9780394488806;0394488806
The American political tradition.,9780224602884;0224602888;9780224611879;0224611879
The Americans : a new history of the people of the United States /,
The history of the United States /,
A short history of American democrary /,
The American nation : a history of the United States from 1865 to the present /,
"Political and social growth of the American people, 1492-1865 /",
The American republic /,
The American republic /,
The United States /,9780139384233;0139384235
"We, the people /",
Images of America /,9780394321189;0394321189
A history of the American people /,9780297815693;0297815695
The sweep of American history /,
The sweep of American history /,
Adventures of America 1857-1900 : a pictorial record from Harper's Weekly /,
Living America /,
The political depravity of the founding fathers : studies in the history of the United States /,
The shaping of America : a geographical perspective on 500 years of history /,9780300104325;0300104324
A new history of the United States /,
An illustrated history of the United States /,
The shaping of America : a geographical perspective on 500 years of history /,9780300035483;0300035489
The shaping of America : a geographical perspective on 500 years of history /,9780300056587;0300056583
A new history of the United States /,
The Oxford history of the American people /,
"The Oxford history of the United States, 1783-1917 /",
A concise history of the American republic /,9780195021264;0195021266
A concise history of the American republic /,9780195031799;0195031792
The growth of the American republic /,9780195025934;0195025938
The growth of the American republic /,9780195025941;0195025946
From these beginnings ... : a biographical approach to American history /,
A brief history of the United States /,
A history of the American people from 1492 /,
A short history of the United States /,
America : the story of a free people /,9780198730187;0198730187
New perspectives on the American past /,
The American union /,
A history of the United States /,9780140203134;0140203133
A history of the United States /,9780140203141;0140203141
The United States of America : a history /,
The American democracy : its rise to power /,
The United Sates of America : a history /,
The United States of America : a history /,
"Nationalism and sectionalism in America, 1775-1877 : select problems in historical interpretation /",
"America, empire of liberty : a new history /",0141033673;9780141033679
Readings in American history /,
America moves west /,
Understanding the American past : American history and its interpretation /,
New viewpoints in American history /,
Nothing stands still : essays /,
Paths to the present /,
A concise history of the United States /,
"The United States : an outline of political history, 1492-1871 /",
Transnational Nation : United States History in Global Perspective Since 1789 /,9781137338532;1137338539;9781137338549;1137338547
The great experiment : an introduction to the history of the American people /,
The golden door : a history of the United States of America (1607-1945) /,
Division and reunion 1829-1889 /,1103841769;9781103841769
What is America? : a short history of the new world order /,0676979823;9780676979824
A history of the American people /,
American historians : a selection /,
The age of reinterpretation /,
The comparative approach to American history /,
A new American history /,
An empire for liberty : from Washington to Lincoln /,9781557862600;1557862605
The American dream : from reconstruction to Reagan /,9781557865892;1557865892
The search for liberty : from origins to independence /,9781557865885;1557865884
"America, past and present /",9780321002891;032100289X
"America, past and present /",9780673388643;0673388646
American passages : a history of the United States /,9780030724794;0030724791
The American people : creating a nation and a society /,9780065010558;0065010558
The unfinished nation : a concise history of the American people /,9780072430509;0072430508;9780072295580;0072295589
Probing America's past : a critical examination of major myths and misconceptions /,
The American pageant : a history of the Republic /,9780669003543;0669003549
The American pageant : a history of the Republic /,9780669003550;0669003557
The free and the unfree : a new history of the United States /,9780140220384;0140220380
The free and the unfree : a new history of the United States /,9780140228274;0140228276;9780140165401;0140165401
United States history : search for freedom /,
The enduring vision : a history of the American people /,9780669281149;066928114X
The enduring vision : a history of the American people /,9780669397703;0669397709
The enduring vision : a history of the American people /,9780669397727;0669397725
The essentials of American history /,9780394304120;0394304128
Looking backward : a reintroduction to American history /,9780070228412;0070228418
The American nation : a history of the United States /,9780060422691;0060422696
The American nation : a history of the United States /,9780321012968;0321012968
The Dent atlas of American history /,9780460861731;0460861735
People on the move : a United States history /,9780205047321;0205047327
People on the move : a United States history /,9780205047338;0205047335
USA : an American record /,9780030774355;0030774357
"The limits of liberty : American history, 1607-1992 /",9780198205715;0198205716;9780198205722;0198205724
"The limits of liberty : American history, 1607-1980 /",9780199130740;0199130744
The national experience : a history of the United States /,
A people and a nation : a history of the United States /,9780618391776;0618391770
A people and a nation : a history of the United States /,9780395359532;0395359538
A people and a nation : a history of the United States /,9780395379363;0395379369
A people and a nation : a history of the United States /,9780395379370;0395379377
A people and a nation : a history of the United States /,9780395433072;039543307X
A people and a nation : a history of the United States /,9780395433089;0395433088
A people and a nation : a history of the United States /,9780395433096;0395433096
A people and a nation : a history of the United States /,9780395634554;0395634555
A people and a nation : a history of the United States /,9780395788820;039578882X
A people and a nation : a history of the United States /,9780618005505;0618005501
The American experience /,
The pursuit of liberty : a history of the American people /,9780394334769;0394334760
The pursuit of liberty : a history of the American people /,9780394334776;0394334779
America : a narrative history /,9780393978131;0393978133
A history of the American people /,9780155365339;0155365339
A history of the American people /,9780155365346;0155365347
America : a narrative history /,9780393961485;0393961486
America : a narrative history /,9780393961492;0393961494
America : a narrative history /,9780393961515;0393961516
America : a narrative history /,9780393968736;0393968731
America : a narrative history /,9780393970630;0393970639
America : a narrative history /,9780393973334;0393973336;9780393973396;0393973395
America : a narrative history /,9780393973495;0393973492
Freedom and crisis : an American history /,
A Soviet view of the American past : an annotated translation of the section on American history in the Great Soviet Encyclopedia (Bolshaia Sovetskaia Entsiklopedia) /,
A history of America /,
America : a visual history /,1603201238;9781603201230
The American record : images of the nation's past.,9780070239876;0070239878
American vistas /,9780195024685;0195024680
American vistas /,9780195024692;0195024699
American vistas /,9780195060607;0195060601
American vistas /,9780195087833;0195087836
American vistas /,9780195087840;0195087844
The American record : images of the nation's past /,
The American record : images of the nation's past /,9780070239883;0070239886
The American record : images of the nation's past /,9780075538554;0075538555
The American record : images of the nation's past /,9780394322162;0394322169
The American record : images of the nation's past /,9780394326658;0394326652
The Unfolding Drama : Studies in U.S. History /,9780717805600;0717805603
American aspects /,
Past Imperfect : Alternative Essays in American History /,
In search of America : transatlantic essays 1951-1990 /,9780313277122;0313277125
The Hofstadter aegis : a memorial /,
Eight issues in American history : views and counterviews /,
Politics and society in American history /,
Toward a new view of America : essays in honor of Arthur C. Cole /,9780891020660;0891020667
American protest in perspective /,9780060467241;006046724X
A companion to 20th-century America /,9780631211006;0631211004
"History as a way of learning : articles, excerpts, and essays /",
The Zinn reader : writings on disobedience and democracy /,9781888363548;1888363541
Bush and backwoods : a comparison of the frontier in Australia and the United States /,
The westward movement in the United States /,
The American Frontier : a Social and Literary Record /,
America's frontier heritage /,
The American Frontiersman /,
The Frontier thesis /,
Westward Expansion : a History of the American Frontier /,9780023098604;0023098600
Westward : the romance of the American frontier /,
"Britain and America : studies in comparative history, 1760-1970 /",9780300069778;0300069774
No duty to retreat : violence and values in American history and society /,9780195045109;0195045106
The course of empire /,
"The new frontier : a study of the American liberal spirit, its frontier origin, and its application to modern problems /",
"Mission of the North American people : geographical, social, and political /",9780306710131;0306710137
Empire on the Pacific : a study in American continental expansion /,
The American empire : a study of the outlying territories of the United States /,
American violence : a documentary history /,9780394414867;0394414861
Turner and the sociology of the frontier /,
Frontier violence : another look /,9780195017502;0195017501
"Expansion and American Indian policy, 1783-1812 /",
"The frontier in the formative years, 1783-1815 /",
A concise study guide to the American frontier /,
Lethal imagination : violence and brutality in American history /,9780814712962;0814712967;9780814712955;0814712959
Manifest destinies and indigenous peoples /,0674033132;9780674033139
Photographs at the frontier : Aby Warburg in America 1895-1896 /,9781858940670;1858940672
"History of the American frontier, 1763-1893 /",
American history from a global perspective : an interpretation /,9780275968960;0275968960
A nation moving West : readings in the history of the American frontier /,
America's frontier story : a documentary history of westward expansion /,
The winning of the West /,
American nicknames : their origin and significance /,
Virgin land : the American West as symbol and myth /,9780674939554;0674939557
Virgin land : the American West as symbol and myth /,9780674939554;0674939557
"The revolutionary frontier, 1763-1783 /",
The Turner thesis and the dry world /,
The Turner thesis : concerning the role of the frontier in American history /,
Toward the year 2000 : work in progress /,9780262522373;0262522373
Frontier and section /,
The significance of sections in American history /,
The frontier in American history /,
The great plains /,
Manifest destiny : a study of nationalist expansionism in American history /,
Guarding the frontier : a study of frontier defense from 1815-1825 /,
The frontier in perspective /,
The anti-imperialist reader : a documentary history of anti-imperialism in the United States /,9780841907683;0841907684
"Empire in retreat : the past, present, and future of the united states /",0300210000;9780300210002
Cultures of United States imperialism /,9780822314004;0822314002;9780822314134;0822314134
Fugitive empire : locating early American imperialism /,9780816644544;0816644543;9780816644537;0816644535
Great American cattle trails : the story of the old cow paths of the East and the longhorn highways of the plains /,
Geographical inquiry and American historical problems /,9780804715751;0804715750
European settlement and development in North America : essays on geographical change in honour and memory of Andrew Hill Clark /,9780712908962;071290896X
The Frontier in History : North America and Southern Africa compared /,9780300026245;0300026242
The end of the myth : from the frontier to the border wall in the mind of America /,1250179823;9781250179821;1250214858;9781250214850
Manifest design : American exceptionalism and Empire /,9780801488467;080148846X
The Yankee exodus : an account of migration from New England /,
Regionalism in America /,
"The land before her : fantasy and experience of the American frontiers, 1630-1860 /",9780807815717;0807815713;9780807841112;0807841110
"Frontiers of historical imagination : narrating the European conquest of native America, 1890-1990 /",9780520204638;0520204638;9780520221666;0520221664
History of the Westward movement /,9780394411750;0394411757
America as second creation : technology and narratives of new beginnings /,9780262640596;0262640597
American regionalism : a cultural-historical approach to national integration /,
"Race, nation, and empire in American history /",0807831271;9780807831274;0807858285;9780807858288
Manifesting America : the imperial construction of U.S. national space /,0199958491;9780199958498
"The fatal environment : the myth of the frontier in the age of industrialization, 1800-1890 /",9780689114106;0689114109;9780806130309;080613030X
Manifest destiny : American expansionism and the empire of right /,9780809015849;0809015846
"United States expansionism and British North America, 1775-1871 /",9780807817674;0807817678
The significance of the Frontier in American history /,0141036710;9780141036717
The significance of the frontier in American history /,9780804460835;0804460833
Manifest destinies : America's westward expansion and the road to the Civil War /,0307277704;9780307277701
The American Frontier revisited /,9780333279670;0333279670
Westward expansion /,9780245518799;0245518797
The end of American exceptionalism : frontier anxiety from the Old West to the New Deal /,9780700605613;0700605614
Wider horizons of American history /,
The Americas : the history of a hemisphere /,9781842127131;1842127136
Outline political history of the Americas /,
The native period in the history of the New World /,
The national period in the history of the New World : an outline and commentary /,
"Empires to Nations : Expansion in America, 1713-1824 /",
Narrative and critical history of America /,
Narrative and critical history of America /,
Narrative and critical history of America /,
Narrative and critical history of America /,
Narrative and critical history of America /,
"America in European consciousness, 1493-1750 /",9780807821664;0807821667;9780807845103;0807845108
"Wars of the Americas : a chronology of armed conflict in the New World, 1492 to the present /",9780874368376;0874368375
Beyond 1492 : encounters in colonial North America /,9780195080339;0195080335
"The British Atlantic World, 1500-1800 /",0230202349;9780230202344;0230202357;9780230202351
"The British Atlantic world, 1500-1800 /",9780333963401;0333963407;9780333963418;0333963415
"Puritan conquistadors : Iberianizing the Atlantic, 1550-1700 /",0804742790;9780804742795;0804742804;9780804742801
"Colonial identity in the Atlantic world, 1500-1800 /",9780691008400;069100840X
Bitter feast : Amerindians and Europeans in Northeastern North America 1600-64 /,9780774804516;0774804513
"Empires of the Atlantic world : Britain and Spain in America, 1492-1830 /",9780300114317;0300114311
Since Columbus : poverty and pluralism in the history of the Americas /,9780435315252;0435315250
"The Americas in the age of revolution, 1750-1850 /",9780300066135;0300066139
"New World orders : violence, sanction, and authority in the colonial Americas /",9780812238952;0812238958
"The Atlantic world : essays on slavery, migration, and imagination /",9780131839151;0131839152
"The English Atlantic in an age of revolution, 1640-1661 /",9780674015029;0674015029
"The English Atlantic in an age of revolution, 1640-1661 /",9780674024120;0674024125
Struggle and Survival in Colonial America /,9780520041103;0520041100
Americana : the Americas in the world around 1850 (or 'Seeing the elephant' as the theme for an imaginary western) /,9781859847534;1859847536
The history of Texas /,0882952552;9780882952550
The Democrats in American politics : a short history of a popular party /,
"Congress investigates : a documented history, 1792-1974 /",9780835208116;0835208117
"Congress investigates : a documented history, 1792-1974 /",9780835208123;0835208125
"Congress investigates : a documented history, 1792-1974 /",9780835208130;0835208133
